1	134	95.0086018952	0	0
2	139	94.9356634953	0	0
3	134	95.0023167947	3	3
4	131	94.9987778211	7	10
5	126	94.9531271591	2	12
6	123	94.8953335381	0	12
7	119	94.8669528137	6	18
8	118	94.7804847406	6	24
9	118	94.7560137582	5	29
10	119	94.7277294366	6	35
11	123	94.778036545	1	36
12	121	94.7449748737	6	42
13	121	94.796358216	3	45
14	118	94.7652369196	4	49
15	118	94.6769235067	7	56
16	114	94.7274301632	5	61
17	110	94.6991526147	5	66
18	110	94.6411054653	5	71
19	110	94.6256943413	1	72
20	114	94.6812054308	1	73
21	112	94.7572005068	7	80
22	115	94.82633103	6	86
23	111	94.7741032612	5	91
24	109	94.7506546587	6	97
25	105	94.655244255	6	103
26	110	94.6258721811	4	107
27	112	94.6132427276	6	113
28	111	94.6786163785	1	114
29	111	94.6921145358	2	116
30	106	94.7900949933	6	122
31	101	94.8477172595	1	123
32	105	94.7781266364	4	127
33	106	94.8192866809	2	129
34	111	94.7390710339	3	132
35	110	94.7604194769	4	136
36	112	94.8314876514	3	139
37	109	94.8238757534	2	141
38	104	94.828341629	7	148
39	99	94.7520699193	3	151
40	104	94.6855511046	7	158
41	101	94.7810543377	2	160
42	99	94.8177946751	4	164
43	97	94.8460205354	2	166
44	101	94.9037753097	6	172
45	105	94.9027848137	0	172
46	107	94.8462937464	6	178
47	106	94.7780449011	0	178
48	106	94.8309322326	5	183
49	105	94.7913910225	0	183
50	110	94.7370374489	6	189
51	110	94.8097918402	0	189
52	106	94.8533820847	3	192
53	110	94.7925862184	3	195
54	113	94.759387408	4	199
55	118	94.6989721975	6	205
56	118	94.6734785071	5	210
57	121	94.6728571351	0	210
58	119	94.7493319634	0	210
59	118	94.7217099566	7	217
60	118	94.7159763245	6	223
61	119	94.6546123523	3	226
62	115	94.5648918456	4	230
63	111	94.6364331299	5	235
64	113	94.6498847501	4	239
65	114	94.657531434	7	246
66	115	94.5956898287	0	246
67	111	94.6735926815	7	253
68	110	94.6744241733	6	259
69	106	94.6917115896	7	266
70	103	94.7872961298	5	271
71	98	94.7710289141	7	278
72	102	94.8254622269	4	282
73	106	94.8191532839	3	285
74	105	94.8532129217	6	291
75	106	94.7961051897	5	296
76	109	94.7747401814	3	299
77	114	94.6887594277	3	302
78	111	94.6397301712	6	308
79	114	94.7115684905	5	313
80	115	94.7860756514	6	319
81	113	94.8520063724	5	324
82	111	94.9408009647	2	326
83	112	94.9272292357	4	330
84	108	94.8918780372	0	330
85	103	94.9617613316	5	335
86	100	94.8895233146	1	336
87	95	94.9196687432	1	337
88	95	94.8316725485	1	338
89	99	94.8921636047	0	338
90	102	94.9327794276	3	341
91	99	94.9962264689	3	344
92	97	95.0038909957	4	348
93	96	95.0380899497	2	350
94	91	94.9936725719	0	350
95	95	94.998493578	0	350
96	97	95.0230554067	7	357
97	98	95.0194642641	4	361
98	94	95.0640545442	3	364
99	92	94.9712906021	4	368
100	93	95.0168076694	0	368
101	94	95.082189575	1	369
102	91	94.9860579695	5	374
103	93	94.9170577431	7	381
104	98	95.002897415	6	387
105	93	95.0046121069	2	389
106	96	95.0137829414	5	394
107	95	94.9939362416	2	396
108	96	94.9891278386	0	396
109	101	94.9723523792	4	400
110	96	95.0551730056	1	401
111	91	95.0950592834	3	404
112	88	94.998554588	7	411
113	86	94.9077749162	6	417
114	90	94.9112937053	0	417
115	89	94.9474314782	2	419
116	94	94.911742623	5	424
117	97	94.8762519444	0	424
118	92	94.8129626565	0	424
119	94	94.7601102287	2	426
120	91	94.6853124842	3	429
121	89	94.7153105965	0	429
122	91	94.6928431903	3	432
123	89	94.7111802149	2	434
124	94	94.6874144146	3	437
